baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HORMAD1	136.007263182637	-5.27505512930216	0.275300897438266	-19.1610531545218	7.82733527785836e-82	1.6863211122618e-77
MSLN	893.699117076834	-5.00215684275481	0.264389456024273	-18.9196532947047	7.85696216972769e-80	8.46351964923067e-76
ART3	210.548131076283	-4.88464350490355	0.274248561254875	-17.8110086796917	5.80541220898074e-71	4.16906002100937e-67
AFAP1-AS1	215.67177617609	-4.13358299315338	0.240098717096439	-17.2161810906015	2.00808905357091e-66	1.08155676425329e-62
GABBR2	91.7570605105063	-4.42433865482941	0.259408238292721	-17.055505576646	3.18108625618349e-65	1.37066644606434e-61
A2ML1	588.308259846538	-4.09475225560418	0.25394788408109	-16.1243802854315	1.71975510249031e-58	6.17506732134187e-55
ACTL8	209.021584880668	-4.99078434658347	0.312997485347497	-15.9451260160847	3.08018195750023e-57	9.47992001319786e-54
INA	29.1293474615473	-3.88527519286233	0.245062805410251	-15.8542018906465	1.31487404857498e-56	3.54095581281242e-53
CDH1	22718.8611109698	-2.0855469108928	0.132285584186802	-15.7654889133481	5.37547301771276e-56	1.28676878548449e-52
CLDN6	24.8500239550391	-3.67621644249737	0.23758680694277	-15.4731505919978	5.26651418205501e-54	1.13461781538193e-50
VGLL1	624.884731407599	-4.27000695578362	0.283686807481355	-15.0518347810878	3.35790459468268e-51	6.57660878071306e-48
LRP8	676.36101676741	-1.7265197234561	0.114940398417521	-15.0209999897905	5.34945593920497e-51	9.60405656285265e-48
GDF9	308.981673144323	2.99945868064565	0.199890408882891	15.0055157594026	6.75637174273831e-51	1.11968671404272e-47
MMP1	1705.13706202459	-3.54781352711448	0.237426875928912	-14.9427629590541	1.73624421691328e-50	2.67183181494141e-47
VPS35	8105.66262800968	-0.763372097248405	0.0535736317040626	-14.2490264887254	4.54573920461607e-46	6.52889369494991e-43
CCNE1	541.191403765873	-2.28131542864286	0.160916931219221	-14.1769757312546	1.27211788049673e-45	1.71290672608885e-42
KRT16	2981.7640562006	-3.59585039147208	0.254121721245227	-14.1501103245012	1.86464525449287e-45	2.36305396251732e-42
SLC15A1	76.4037401580489	-3.46830243539678	0.249068361380163	-13.9251023942899	4.45902012375323e-44	5.33695164145219e-41
PSMD14	3835.79775738994	-0.640199174433496	0.0464343393659957	-13.7871924781236	3.04376748237726e-43	3.45131192843872e-40
CHODL	109.178048146729	-2.68898425775929	0.19525620940277	-13.7715684739762	3.77918121752467e-43	4.07093400751757e-40
POU4F1	14.2774517868987	-3.29713098690565	0.241057905308892	-13.6777550716734	1.37884224389596e-42	1.41456082392831e-39
GMPS	3958.4898907161	-0.818283737215882	0.060464873319938	-13.5332084942293	9.95806176414871e-42	9.75165830212818e-39
RAET1L	21.7506407657016	-3.14209447706594	0.232236855336803	-13.5296978272854	1.04452106402276e-41	9.78398339274191e-39
ORC6	341.322514727857	-1.54411256262079	0.11451795495014	-13.4835848517648	1.95378310399248e-41	1.75384596635058e-38
PRSS33	20.0938205452757	-4.31675094309082	0.320406033186258	-13.4727517461615	2.26273238803927e-41	1.94993226271672e-38
C16orf87	343.121546406539	-0.856825715647645	0.0637317055967002	-13.4442614963063	3.32710801496879e-41	2.75689288748029e-38
L1CAM	524.372244076602	-2.69277253301674	0.200630491720869	-13.4215517786953	4.52145273395971e-41	3.60778435927511e-38
LCT	41.4967746168108	-3.36904786537183	0.25138821975443	-13.4017730371889	5.90357399905465e-41	4.54237850841548e-38
AARS	8087.75874137305	-0.737725338918284	0.055219877489272	-13.3597786243116	1.03872599932359e-40	7.71665963083705e-38
SHCBP1	587.394876508156	-1.35863022719652	0.101784342958799	-13.3481259268577	1.21466413599447e-40	8.72290804862163e-38
LINC00518	16.8149746809131	-3.48868383410292	0.262296272892599	-13.3005467276747	2.29781937215469e-40	1.59691034044196e-37
NAE1	2192.92650002336	-0.671202320015092	0.0508419591894517	-13.2017398761916	8.57317570472039e-40	5.771890543203e-37
EN1	749.033429416646	-2.82248559794139	0.21571819701349	-13.0841330820362	4.05763127133892e-39	2.64901842756744e-36
CASP14	667.678141095738	-4.3733914990941	0.337278608818123	-12.9667028526332	1.88986302065748e-38	1.19750614461896e-35
EPHX3	92.8019430638043	-2.31310758500055	0.179382982802763	-12.8947994333659	4.8151424535027e-38	2.94591112571946e-35
RCOR2	266.492015635153	-1.86012738516956	0.144273117778271	-12.8930975764198	4.92261420933441e-38	2.94591112571946e-35
NUP93	2523.24676653862	-0.689934266404603	0.0535880079032439	-12.8747884722701	6.24098260695113e-38	3.63393862930149e-35
PCSK1	190.620235585662	-2.75969311893443	0.215698086870858	-12.7942401296619	1.76571084242202e-37	1.00106511550368e-34
NRD1	8700.53656941401	-0.489443290273451	0.0387450609470328	-12.6324047068233	1.39935451246204e-36	7.73017785038003e-34
TLX3	6.48124408604716	-4.10739240456732	0.32538759176048	-12.6230763205955	1.57544416605216e-36	8.48534227835696e-34
SF3B3	9582.87161083598	-0.697967091739345	0.0556258756982874	-12.5475254632411	4.10127179961317e-36	2.15506828416747e-33
CIRH1A	2133.637437403	-0.728607424240399	0.0581091156244464	-12.538608037839	4.58986753456272e-36	2.35438348010998e-33
DNAJA2	4180.72410020854	-0.567269403891202	0.0453651569557126	-12.5045176068716	7.05266462417496e-36	3.53354899216803e-33
PSMD12	3036.34590123065	-0.92504797802873	0.0739914200148402	-12.5020979168016	7.27068681644172e-36	3.55999265394137e-33
RHCG	85.9425445107652	-2.92666057346724	0.234709173814629	-12.4693062733828	1.09777569027974e-35	5.25566210475261e-33
MTFR1	1930.16433287556	-1.03705520473709	0.0834398533953598	-12.4287754896123	1.82407030317363e-35	8.54299361121146e-33
PSMD2	9944.82084016601	-0.602800405924239	0.0486695320975815	-12.3855804636797	3.12813330129912e-35	1.43388306049337e-32
USP10	2948.97177885913	-0.529896345549744	0.0428209039653705	-12.3747117991314	3.58177649279181e-35	1.60762068251472e-32
CDH2	459.165445845103	-2.00102353979702	0.161741125899447	-12.3717670980047	3.71555987694197e-35	1.63363310181302e-32
OGFOD1	2113.07857048503	-0.527257270454387	0.0426314961718032	-12.3677871480175	3.9042985628804e-35	1.68228416477391e-32
NIP7	1293.76130712106	-0.693126843620387	0.0561816750180225	-12.3372406286932	5.7078701255319e-35	2.41118341145998e-32
PGBD5	451.852022351851	-2.1194914191721	0.172371768176742	-12.2960473260266	9.51158955535394e-35	3.94072471885664e-32
C1orf135	219.154068628595	-1.32981050527073	0.108194262503138	-12.2909521679318	1.01305689428839e-34	4.11798070387719e-32
CSE1L	8370.37489049842	-0.741967518212542	0.0604052884205488	-12.2831549623085	1.11561242808719e-34	4.45088039827972e-32
CA9	300.197897987237	-3.31848343326697	0.271087386766183	-12.2413789621618	1.86831131428142e-34	7.31834526452343e-32
KPNA2	6851.64631178477	-1.15018978499906	0.0943462737191283	-12.1911522274129	3.46487391387628e-34	1.33298649286698e-31
RFWD3	2282.6121792342	-0.734762187620272	0.0602960454550659	-12.1859100721263	3.69505301224839e-34	1.396600387647e-31
CENPN	871.725468545538	-1.00194502796058	0.0823963245724466	-12.160069434646	5.07155649953505e-34	1.88382091768936e-31
SLC26A9	34.3576740596461	-2.8121552952967	0.232421198739273	-12.0993924416134	1.06395684174023e-33	3.88506545736467e-31
SMOC1	495.744008806596	-2.50620798575629	0.207428006302145	-12.0823028212771	1.30998744189094e-33	4.70372824134975e-31
RAPGEF3	1107.1785352911	1.18080304891799	0.0980191682147177	12.0466544495803	2.01982751417576e-33	7.13363343695125e-31
RNF182	64.0810723739082	-2.1052302653055	0.175304380877629	-12.0089997452777	3.18676141323239e-33	1.10734819172062e-30
YARS	5172.27889675042	-0.622853529858754	0.0520004436316574	-11.9778503097148	4.64204909307805e-33	1.58743342319482e-30
LTC4S	196.446772858283	1.26617776789662	0.105792833452564	11.9684644656423	5.19817397702753e-33	1.74983531501689e-30
PSMD7	4151.46204946242	-0.639366922707097	0.0534341028220846	-11.965521809844	5.38579388528046e-33	1.77448164284703e-30
TCAM1P	54.7749201183118	-3.08969733390626	0.258233342853986	-11.9647497869912	5.4361208887813e-33	1.77448164284703e-30
ACTL6A	3819.40482207323	-0.61196136379237	0.0511780780484581	-11.9574901428094	5.93280989006105e-33	1.90770830255933e-30
KRT6A	1076.15305783562	-2.81130614567523	0.235228299723067	-11.951394236939	6.38450606297403e-33	2.02276174442224e-30
ANLN	2412.61466817831	-1.48166146548701	0.124202871588718	-11.9293656139718	8.32051476371362e-33	2.59793000100647e-30
ABCA13	101.540521353582	-3.07268763950963	0.258196258128728	-11.9005893492759	1.17514298208228e-32	3.61675434371153e-30
CDCA8	1170.41343387324	-1.27053218078789	0.106793356109723	-11.8971088377679	1.22518569873715e-32	3.71766206952016e-30
MAGEB4	12.0477527912253	-3.52786977816694	0.297693883387741	-11.8506626270582	2.13495898589151e-32	6.38827172111759e-30
SHROOM1	6175.93911025293	2.23729865006872	0.189435464970502	11.8103473941223	3.45132321433046e-32	1.01856585382925e-29
PPP1R14C	434.527777664864	-2.49147353424285	0.211576215008114	-11.7757732557381	5.20377131419635e-32	1.5150006647709e-29
APOBEC3B	590.926082345383	-1.70452876783238	0.144868068318589	-11.7660764557434	5.8376961756186e-32	1.6768976854337e-29
GARS	6624.65627326431	-0.652621418728926	0.0555347868718789	-11.7515787038951	6.93116907653726e-32	1.96480403401209e-29
PSAT1	628.799076721901	-2.33887260444829	0.199175665723501	-11.7427628317565	7.69314765521954e-32	2.15248276732532e-29
